coverage_level,trait,facet_key,facet_label_zh,facet_glossary,facet_high_reframe,facet_low_reframe,total_assets,status
trait,O,,开放性,6,6,6,18,PASS
trait,C,,尽责性,6,6,6,18,PASS
trait,E,,外向性,6,6,6,18,PASS
trait,A,,宜人性,6,6,6,18,PASS
trait,N,,情绪性,6,6,6,18,PASS
facet,O,O1,想象力,1,1,1,3,PASS
facet,O,O2,审美兴趣,1,1,1,3,PASS
facet,O,O3,情感感受性,1,1,1,3,PASS
facet,O,O4,探索行动,1,1,1,3,PASS
facet,O,O5,思辨兴趣,1,1,1,3,PASS
facet,O,O6,价值开放,1,1,1,3,PASS
facet,C,C1,自我效能,1,1,1,3,PASS
facet,C,C2,条理性,1,1,1,3,PASS
facet,C,C3,责任遵循,1,1,1,3,PASS
facet,C,C4,成就追求,1,1,1,3,PASS
facet,C,C5,自律推进,1,1,1,3,PASS
facet,C,C6,审慎性,1,1,1,3,PASS
facet,E,E1,亲和进入,1,1,1,3,PASS
facet,E,E2,群体社交,1,1,1,3,PASS
facet,E,E3,主张表达,1,1,1,3,PASS
facet,E,E4,活动水平,1,1,1,3,PASS
facet,E,E5,刺激寻求,1,1,1,3,PASS
facet,E,E6,积极外显,1,1,1,3,PASS
facet,A,A1,信任,1,1,1,3,PASS
facet,A,A2,坦诚正直,1,1,1,3,PASS
facet,A,A3,利他承接,1,1,1,3,PASS
facet,A,A4,合作调和,1,1,1,3,PASS
facet,A,A5,谦逊表达,1,1,1,3,PASS
facet,A,A6,共情反应,1,1,1,3,PASS
facet,N,N1,焦虑预警,1,1,1,3,PASS
facet,N,N2,受挫反应,1,1,1,3,PASS
facet,N,N3,低落耗竭,1,1,1,3,PASS
facet,N,N4,自我意识,1,1,1,3,PASS
facet,N,N5,过载冲动,1,1,1,3,PASS
facet,N,N6,脆弱承压,1,1,1,3,PASS
