assertion_type,term,severity,surfaces,allowed_context,forbidden_context,repair_action,notes,match_mode,raw_substring_scan_allowed
must_render,敏锐的独立思考者,P0,result_page_desktop | result_page_mobile | pdf | share_card | history | compare,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,profile_label,literal_visible_text,
must_render,O59 / C32 / E20 / A55 / N68,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,score_vector,literal_visible_text,
must_render,高敏感 × 中高开放 × 克制进入,P0,result_page_desktop | result_page_mobile | pdf | share_card,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,axis,literal_visible_text,
must_render,Big Five 描述的是连续人格特质，不是固定人格类型,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,boundary,literal_visible_text,
must_render,不用于医学诊断,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,boundary,literal_visible_text,
must_render,不用于心理治疗,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,boundary,literal_visible_text,
must_render,不用于招聘筛选,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,boundary,literal_visible_text,
must_render,画像名只是辅助理解标签,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,boundary,literal_visible_text,
must_render,不是没尽责,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,facet_reframe,literal_visible_text,
must_render,不是社交差,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,facet_reframe,literal_visible_text,
must_render,不是玻璃心,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,facet_reframe,literal_visible_text,
must_render,工作,P1,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,action_scenario,literal_visible_text,
must_render,关系,P1,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,action_scenario,literal_visible_text,
must_render,压力,P1,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,action_scenario,literal_visible_text,
must_render,个人成长,P1,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,action_scenario,literal_visible_text,
must_render,30 / 60 / 90 天路径,P1,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,action_path,literal_visible_text,
must_render,方法与边界说明,P0,result_page_desktop | result_page_mobile | pdf,visible text on listed surfaces,missing from required primary result surfaces,ensure O59 canonical fixture block renders through Big5 V2 preview path,method_boundary_section_title,literal_visible_text,
must_not_render,A compact overview,P0,all,none,"any user-visible result body, heading, subtitle, fixture rendered text",route rendered body to O59 canonical core body; remove compact fallback source,,literal_visible_text,
must_not_render,Five-domain distribution with percentile-oriented context,P0,all,none,any user-visible section subtitle,replace legacy frontend microcopy with canonical section title/subtitle from fixture,,literal_visible_text,
must_not_render,Focused read on domain-level strengths,P0,all,none,any user-visible section subtitle,ensure domain_deep_dive renders canonical O59 body blocks,,literal_visible_text,
must_not_render,Facet-level signals arranged for quick interpretation,P0,all,none,facet_details section subtitle or body,ensure facet_details renders reframe body and directory separately,,literal_visible_text,
must_not_render,Norms Comparison,P0,all,non-rendered code comments only,user-visible heading/subtitle/body,render 中文 section title 相对参照 or approved Chinese heading,,literal_visible_text,
must_not_render,Methodology and Access,P0,all,non-rendered internal key only,user-visible heading/subtitle/body,render 方法与边界说明,,literal_visible_text,
must_not_render,N1 百分位 作为主体解释,P0,result_page_desktop|result_page_mobile|pdf,"N1 百分位 may appear only inside full facet directory / metric row, never as primary facet_details narrative","facet_details primary explanation, anomaly card body, section intro",move percentile rows to directory; render reframe blocks as section body,,literal_visible_text,
must_not_render,all,P1,all,"Allowed inside words like 'callout'/'allowlisted', schema kind values, internal code strings, and non-rendered JSON/code/fixtures.",Only a standalone visible placeholder/debug token exactly equal to 'all' in rendered user-visible text.,Filter placeholder/debug token from rendered output; do not implement raw substring scan.,,standalone_visible_token_exact,False
must_not_render,优先关注成长面向,P0,all,none,action_plan or shell body,render scenario-bound action plan and 30/60/90 path,,literal_visible_text,
must_not_render,"O6, C5, E6",P0,all,non-user-visible fixture source only,user-visible action summary or growth priority,replace short facet-code action with canonical action blocks,,literal_visible_text,
must_not_render,[object Object],P0,all,none,any visible text,fix renderer serialization / block flattening,,literal_visible_text,
must_not_render,deferred_to_future,P0,all,non-rendered QA metadata only,visible text,suppress pending placeholders from UI,,literal_visible_text,
must_not_render,policy_not_shipped,P0,all,non-rendered QA metadata only,visible text,suppress QA policy state from UI,,literal_visible_text,
must_not_render,frontend_fallback,P0,all,non-rendered test name only,visible text,do not render fallback provenance/debug fields,,literal_visible_text,
must_not_render,internal_metadata,P0,all,non-rendered trace only,visible text,sanitize view model before render,,literal_visible_text,
must_not_render,selector_basis,P0,all,non-rendered selector trace only,visible text,sanitize selector trace fields,,literal_visible_text,
must_not_render,selection_guidance,P0,all,non-rendered asset metadata only,visible text,block metadata fields from renderer,,literal_visible_text,
must_not_render,editor_notes,P0,all,non-rendered QA metadata only,visible text,block editor notes from public payload,,literal_visible_text,
must_not_render,qa_notes,P0,all,non-rendered QA metadata only,visible text,block QA fields from render,,literal_visible_text,
must_not_render,source_reference,P0,all,non-rendered source trace only,visible text,do not expose source trace to user UI,,literal_visible_text,
must_not_render,import_policy,P0,all,non-rendered governance metadata only,visible text,block governance metadata from UI,,literal_visible_text,
must_not_render,runtime_use,P0,all,non-rendered metadata only,visible text,do not render internal asset flags,,literal_visible_text,
must_not_render,production_use_allowed,P0,all,non-rendered metadata only,visible text,do not render internal asset flags,,literal_visible_text,
