term,severity,required_surfaces,expected_context
敏锐的独立思考者,P0,result_page_desktop|result_page_mobile|pdf|share_card|history|compare,profile label / result identity / safe summary
O59 / C32 / E20 / A55 / N68,P0,result_page_desktop|result_page_mobile|pdf,canonical score signature
高敏感 × 中高开放 × 克制进入,P0,result_page_desktop|result_page_mobile|pdf|share_card|history|compare,canonical axis / main tension
Big Five 描述的是连续人格特质，不是固定人格类型,P0,result_page_desktop|result_page_mobile|pdf|share_card,method / boundary / trust strip
不用于医学诊断,P0,result_page_desktop|result_page_mobile|pdf|share_card,safety boundary
不用于心理治疗,P0,result_page_desktop|result_page_mobile|pdf,safety boundary
不用于招聘筛选,P0,result_page_desktop|result_page_mobile|pdf|share_card,safety boundary
画像名只是辅助理解标签,P0,result_page_desktop|result_page_mobile|pdf|share_card,non-type boundary
不是没尽责,P0,result_page_desktop|result_page_mobile|pdf,facet reframe primary explanation
不是社交差,P0,result_page_desktop|result_page_mobile|pdf,facet reframe primary explanation
不是玻璃心,P0,result_page_desktop|result_page_mobile|pdf,facet reframe primary explanation
工作,P1,result_page_desktop|result_page_mobile|pdf|history|compare,scenario/action/lifecycle surface
关系,P1,result_page_desktop|result_page_mobile|pdf|history|compare,scenario/action/lifecycle surface
压力,P1,result_page_desktop|result_page_mobile|pdf|history|compare,scenario/action/lifecycle surface
个人成长,P1,result_page_desktop|result_page_mobile|pdf,scenario/action/lifecycle surface
30 / 60 / 90 天路径,P0,result_page_desktop|result_page_mobile|pdf,action_plan long-horizon path
方法与边界说明,P0,result_page_desktop|result_page_mobile|pdf,methodology_and_access section title
