question_id,module_code,options_set_code,is_reverse,text_en
1,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt unmotivated or lost interest in almost everything."
2,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt low, depressed, or hopeless."
3,M1,M1_FREQ_2W,0,"Over the past two weeks, you had trouble falling asleep, staying asleep, or you slept far more than usual."
4,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt exhausted or had very little energy."
5,M1,M1_FREQ_2W,0,"Over the past two weeks, your appetite noticeably decreased, or you ate much more than usual."
6,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt you were not good enough, a failure, or that you let yourself or your family down."
7,M1,M1_FREQ_2W,0,"Over the past two weeks, you struggled to concentrate (e.g., reading, working, watching videos)."
8,M1,M1_FREQ_2W,0,"Over the past two weeks, you moved or spoke so slowly that others noticed; or you felt unusually restless and fidgety."
9,M1,M1_FREQ_2W,0,"Over the past two weeks, you had thoughts of disappearing or not wanting to live, or thoughts of harming yourself."
10,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt tense, anxious, or on edge."
11,M1,M1_FREQ_2W,0,"Over the past two weeks, once worrying started, it was hard to stop or control."
12,M1,M1_FREQ_2W,0,"Over the past two weeks, you worried too much about many different things."
13,M1,M1_FREQ_2W,0,"Over the past two weeks, you found it hard to relax."
14,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt so restless that sitting still was difficult."
15,M1,M1_FREQ_2W,0,"Over the past two weeks, you became easily annoyed or irritable."
16,M1,M1_FREQ_2W,0,"Over the past two weeks, you felt afraid that something terrible might happen."
17,M2,M2_FREQ_1M,0,"Over the past month, you felt unable to control important things in your life."
18,M2,M2_FREQ_1M,1,"Over the past month, you felt confident in your ability to handle your personal problems."
19,M2,M2_FREQ_1M,1,"Over the past month, you felt things were moving in the direction you wanted."
20,M2,M2_FREQ_1M,0,"Over the past month, you felt problems were piling up and hard to overcome."
21,M2,M2_FREQ_1M,0,"Over the past month, you were able to adapt to changes in your life."
22,M2,M2_FREQ_1M,0,"Over the past month, you were able to handle unexpected events that came your way."
23,M2,M2_FREQ_1M,0,"Over the past month, you tried to look for the positive or interesting side of situations."
24,M2,M2_FREQ_1M,0,"Over the past month, coping with stress helped you become stronger."
25,M2,M2_FREQ_1M,0,"Over the past month, you bounced back fairly quickly after setbacks."
26,M2,M2_FREQ_1M,0,"Over the past month, even with obstacles, you kept moving forward and worked toward your goals."
27,M2,M2_FREQ_1M,0,"Over the past month, under pressure, you stayed focused and could think clearly."
28,M2,M2_FREQ_1M,0,"Over the past month, failure did not knock you down easily."
29,M2,M2_FREQ_1M,0,"Over the past month, you saw yourself as a strong person."
30,M2,M2_FREQ_1M,0,"Over the past month, you were able to manage uncomfortable emotions well."
31,M3,M3_AGREE_1_5,0,"Growing up, my parents set very high standards for me."
32,M3,M3_AGREE_1_5,0,"Doing things in an organized and systematic way matters a lot to me."
33,M3,M3_AGREE_1_5,0,"Not setting the bar at the top makes me feel like I am not good enough."
34,M3,M3_AGREE_1_5,0,"I prefer an environment that is tidy and orderly."
35,M3,M3_AGREE_1_5,0,"I deliberately try to make my way of doing things more organized."
36,M3,M3_AGREE_1_5,0,"When I fail at work or study, I take it as proof that I am a failure as a person."
37,M3,M3_AGREE_1_5,0,"My parents wanted me to be outstanding in every area."
38,M3,M3_AGREE_1_5,0,"Compared with most people, I set higher goals for myself."
39,M3,M3_AGREE_1_5,0,"Seeing others outperform me at work or study makes me strongly doubt myself."
40,M3,M3_AGREE_1_5,0,"A partial setback makes me feel like the whole thing is a failure."
41,M3,M3_AGREE_1_5,0,"Even when I do something carefully, I often doubt it and feel the need to check again."
42,M3,M3_AGREE_1_5,0,"I hate not doing things as well as they can be done."
43,M3,M3_AGREE_1_5,0,"I hold extremely high goals for myself."
44,M3,M3_AGREE_1_5,0,"My parents expected me to perform exceptionally well."
45,M3,M3_AGREE_1_5,0,"I worry that making mistakes will cause others to look down on me."
46,M3,M3_AGREE_1_5,0,"Not doing as well as others makes me feel inadequate."
47,M3,M3_AGREE_1_5,0,"I often feel others can accept lower standards, while I cannot."
48,M3,M3_AGREE_1_5,0,"When I do not perform well enough, I worry about losing other people's respect."
49,M3,M3_AGREE_1_5,0,"My parents' expectations for my future were usually higher than my own."
50,M3,M3_AGREE_1_5,0,"I try hard to keep my living and working spaces neat."
51,M3,M3_AGREE_1_5,0,"I often doubt small things I have done and feel the need to re-check them."
52,M3,M3_AGREE_1_5,0,"Tidiness is extremely important to me."
53,M3,M3_AGREE_1_5,0,"I demand better results from myself in my day-to-day study or work."
54,M3,M3_AGREE_1_5,0,"I think of myself as an organized person."
55,M3,M3_AGREE_1_5,0,"Repeated checking or re-confirming often slows down my work or study."
56,M3,M3_AGREE_1_5,0,"I often take a long time to finish something until I feel fully at ease about it."
57,M3,M3_AGREE_1_5,0,"I find it difficult to meet the standards my parents set for me."
58,M4,M4_OCD_THOUGHT_TIME,0,"Over the past 7 days, average daily time spent on obsessive thoughts (unwanted repeated thoughts, e.g., repeatedly doubting whether you locked the door)."
59,M4,M4_OCD_THOUGHT_IMPAIR,0,"Over the past 7 days, how much have obsessive thoughts interfered with your social or work functioning?"
60,M4,M4_OCD_THOUGHT_DISTRESS,0,"Over the past 7 days, how much distress have obsessive thoughts caused you?"
61,M4,M4_OCD_THOUGHT_RESIST,0,"Over the past 7 days, how much effort did you make to resist obsessive thoughts?"
62,M4,M4_OCD_THOUGHT_CONTROL,0,"Over the past 7 days, how much control did you have over obsessive thoughts?"
63,M4,M4_OCD_COMP_TIME,0,"Over the past 7 days, average daily time spent on compulsive behaviors (repetitive actions done to reduce anxiety, e.g., repeated handwashing)."
64,M4,M4_OCD_COMP_IMPAIR,0,"Over the past 7 days, how much have compulsive behaviors interfered with your social or work functioning?"
65,M4,M4_OCD_COMP_BLOCK_ANXIETY,0,"Over the past 7 days, how anxious did you become when you were prevented from performing compulsive behaviors?"
66,M4,M4_OCD_COMP_RESIST,0,"Over the past 7 days, how much effort did you make to resist compulsive behaviors?"
67,M4,M4_OCD_COMP_CONTROL,0,"Over the past 7 days, how much control did you have over compulsive behaviors?"
68,M4,M4_FUNCTION_IMPAIR,0,"Overall, how much have the above emotions, stress, or compulsive habits interfered with your normal daily life (e.g., work efficiency, relationships, self-care)?"
